	coverage_p
shapesmith	41.4551
shining	0.653595
simplecart-js	46.2652
sinon.js	20.1107
sizzle	15.4982
skrollr	44.0678
skywriter	49.069
slickgrid	24.6344
soca	100
soundcloud-custom-player	34.2084
spidernode	100
spine	62.2216
sprite.js	33.3931
stapes	68.4211
steal	46.5627
stellar.js	30.598
sticky	39.1053
stickysectionheaders	59.4454
store.js	28.2178
streamlinejs	41.2263
strophejs	35.0693
studio3	57.6522
substance	57.4429
sugar	46.6072
suggest	41.1035
superagent	56.1265
supermodel	98.9071
svarx	77.8865
swagger-ui	100
sylvester	42.7368
syn	38.9189
synapse	35.169
syntaxhighlighter	100
tangram-base	18.2992
tangram-component	100
tempo	58.6428
termkit	100
text	7
therenderengine	31.0829
thorax	68.1745
three.js	66.2797
thumbs.js	93.75
tiddlywiki	0.990099
tiddlywiki5	27.2411
tierra-news	0
tile5	22.2237
tilt	6.10179
timeframe	36.1639
timeline-setter	39.1579
tinymce	21.4999
todomvc	48.2636
todos	40.7753
tombloo	17.3786
tquery	28.3357
transform	15.5085
treesaver	32.0038
trident-js	26.4446
tufte-graph	8.05117
turing.js	31.0471
twitterlib	16.5306
twitter-text-js	20.9947
ui	10.9181
uki	42.2619
underscore	61.8661
underscore.deferred	86.5
underscore.string	52.9187
uni-form	52.0049
unveil	27.5291
uri.js	92.0345
vexflow	42.1635
video-js	21.8615
vie	15.5232
vivagraphjs	4.39239
wax	30.7157
webgl-2d	0
webglcraft	39.8374
weld	38.785
whenever.js	97.3333
windmill	63.6364
wire	16.3086
wp-front-end-editor	12.9878
writecapture	23.2908
wro4j	100
wtfjs	24.898
wu.js	90.6977
wymeditor	16.5075
wysihat	24.4736
wysihtml5	18.561
xauth	85.2459
xdate	51.4572
xregexp	93.1624
xstats.js	78.1065
yabble	64.3787
yeoman.io	50
yepnope.js	62.8647
ymacs	34.0472
yui3	39.6317
yui3-gallery	43.4024
yui-functional	100
yui-local	0
yui_toolbar	68.4641
yui-twitter	41.088
yui-yql	75.75
zen-coding	50.1585
zepto	58.6114
zoomooz	100
